date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:04	0/0	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Jul%202024%2006:02:11%20GMT	https://agreearrow.com/robots.txt		(from )
14:02:04	16104/16104	---MCZ	200	added ('OK')	text/html	date:Wed,%2003%20Jul%202024%2006:02:11%20GMT	https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK	C:/Users/User/Music/789BANCA/WHEEL/agreearrow.com/7604-whale-facts7604a/indexca77.html	(from )
14:02:04	1345/1345	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22cb453f34e88215c7f4da626149c7152c%22	https://agreearrow.com/7604-whale-facts7604a/images/favicon.ico	C:/Users/User/Music/789BANCA/WHEEL/agreearrow.com/7604-whale-facts7604a/images/favicon.ico	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
14:02:05	194901/194901	---MCZ	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/Users/User/Music/789BANCA/WHEEL/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
14:02:05	6074/6074	---MCZ	200	added ('OK')	text/css	etag:W/%22e4b2af18aadceb4757b4b04b28843dbc%22	https://agreearrow.com/7604-whale-facts7604a/styles/animation.css	C:/Users/User/Music/789BANCA/WHEEL/agreearrow.com/7604-whale-facts7604a/styles/animation.css	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
14:02:05	558/558	---MCZ	200	added ('OK')	text/css	etag:W/%22c4ef8b1df173794f637f2fe9071e41b6%22	https://agreearrow.com/7604-whale-facts7604a/styles/custom-styles.css	C:/Users/User/Music/789BANCA/WHEEL/agreearrow.com/7604-whale-facts7604a/styles/custom-styles.css	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
14:02:05	23672/23672	---MCZ	200	added ('OK')	font/otf	etag:W/%228630ab7bfb83d703c9c4f670b2f88ad8%22	https://agreearrow.com/7604-whale-facts7604a/styles/Futura-Medium.otf	C:/Users/User/Music/789BANCA/WHEEL/agreearrow.com/7604-whale-facts7604a/styles/Futura-Medium.otf	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
14:02:06	319/319	---MCZ	200	added ('OK')	application/javascript	etag:W/%2219f-5f556160c19fb-gzip%22	https://zenacentre.com/backbutton/mb8mye/rolfix.js	C:/Users/User/Music/789BANCA/WHEEL/zenacentre.com/backbutton/mb8mye/rolfix.js	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
14:02:06	17268/17268	---MCZ	200	added ('OK')	font/otf	etag:W/%22315e1f0174ea1c127b9fc63b72e20918%22	https://agreearrow.com/7604-whale-facts7604a/styles/Futura-Bold.otf	C:/Users/User/Music/789BANCA/WHEEL/agreearrow.com/7604-whale-facts7604a/styles/Futura-Bold.otf	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
14:02:08	231/231	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2003%20Jul%202024%2006:02:15%20GMT	https://facket-openting.com/d/563fb380-c91e-4759-9083-a1d6fd01ff47.js	C:/Users/User/Music/789BANCA/WHEEL/facket-openting.com/d/563fb380-c91e-4759-9083-a1d6fd01ff47.7.delayed	(from https://agreearrow.com/7604-whale-facts7604a/?ad_id=120209054377870132&adset_id=120209053800810132&campaign_id=120209053800750132&ad_name=GIF%20A&adset_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&campaign_name=MBAFFMYE970_MB8_MY_ABO_ABI_563fb380-c91e-4759-9083-a1d6fd01ff47&source=fb&placement=Facebook_Desktop_Feed&pid=2496673454056081&cpid=563fb380-c91e-4759-9083-a1d6fd01ff47&lpid=ec941802-790e-4376-9cc3-e4db3ed9e779&fbclid=IwZXh0bgNhZW0CMTAAAR27LU_MIM7WOOEJL5NDh5MGHaJlaVgoklnGkDsij5Z_JGZ8Rou70bx10jw_aem_AQYppcUdOLn4ecm7HybV95_lIEWWF5ZqMB9lACM23JtzqJFkYyeBll8xKprPhfV4J9gWvSkvg2iTUGEzSXpbltAK)
